scenario,year,re_opening_nav,re_noi_yield,re_noi,gross_rent,re_asset_mgmt_fee,net_re_cashflow,re_cashflow_generated,re_cashflow_to_lp,re_cashflow_to_hf,re_cashflow_to_reserve,re_appreciation_rate,re_closing_nav,hf_opening_nav,hf_return,hf_harvest,hf_harvest_generated,hf_harvest_to_lp,hf_harvest_to_hf,hf_harvest_to_reserve,hf_closing_nav,refinance_proceeds,refinance_use_of_proceeds,cumulative_refinance_proceeds,refinance_liability,reserve_opening_nav,reserve_closing_nav,retained_cash,lp_cash_yield_target,lp_cash_yield_paid,lp_cash_yield_shortfall,cumulative_lp_cash_yield_shortfall,lp_cash_yield_coverage_ratio,cumulative_reinvested_into_hf,cumulative_cash_distributed_to_lp,cumulative_cash_added_to_reserve,hf_reinvestment_source_re,hf_reinvestment_source_hf,total_cash_reinvested,total_cash_distributed,total_cash_reserved,lp_distribution,lp_cumulative_distribution,lp_remaining_hurdle,economic_hurdle_passed,liquidity_available,liquidity_hurdle_passed,hurdle_trigger_eligible,hurdle_trigger_attempted,hurdle_trigger_executed,hurdle_trigger_required_cash,trigger_cash_from_retained_cash,trigger_cash_from_reserve,trigger_cash_from_hf_liquidation,trigger_cash_from_refi,trigger_cash_from_re_sale,lp_hurdle_shortfall_after_trigger,hf_nav_liquidated_for_hurdle,refi_proceeds_for_hurdle,re_nav_sold_for_hurdle,gp_fees,gp_cumulative_fees,gp_residual_nav,fund_nav,event_flag
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,1,8500000.0,0.075,637500.0,1020000.0,30600.0,606900.0,606900.0,121380.0,364140.0,121380.0,0.04,8840000.0,1000000.0,0.3,75000.0,75000.0,15000.0,52500.0,7500.0,1641640.0,0.0,,0.0,0.0,500000.0,628880.0,0.0,0.0,0.0,0.0,0.0,,416640.0,136380.0,128880.0,364140.0,52500.0,416640.0,136380.0,128880.0,136380.0,136380.0,19863620.0,False,4480520.0,False,False,False,False,19863620.0,0.0,0.0,0.0,0.0,0.0,19863620.0,0.0,0.0,0.0,30600.0,30600.0,0.0,11110520.0,
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,2,8840000.0,0.07687499999999999,679574.9999999999,1060800.0,31824.0,647750.9999999999,647750.9999999999,129550.19999999998,388650.5999999999,129550.19999999998,0.04,9193600.0,1641640.0,0.15,61561.49999999994,61561.49999999994,12312.299999999988,43093.04999999996,6156.149999999994,2258068.1499999994,0.0,,0.0,0.0,628880.0,764586.35,0.0,0.0,0.0,0.0,0.0,,848383.6499999999,278242.49999999994,264586.35,388650.5999999999,43093.04999999996,431743.6499999999,141862.49999999997,135706.34999999998,141862.49999999997,278242.49999999994,19721757.5,False,5321054.5,False,False,False,False,19721757.5,0.0,0.0,0.0,0.0,0.0,19721757.5,0.0,0.0,0.0,31824.0,62424.0,0.0,12216254.499999998,
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,3,9193600.0,0.07879687499999999,724426.9499999998,1103232.0,33096.96,691329.9899999999,691329.9899999999,138265.998,414797.9939999999,138265.998,0.04,9561344.0,2258068.1499999994,0.35,197580.963125,197580.963125,39516.192625,138306.6741875,19758.0963125,3403915.7075624997,0.0,,0.0,0.0,764586.35,922610.4443125,0.0,0.0,0.0,0.0,0.0,,1401488.3181875,456024.69062499993,422610.44431249995,414797.9939999999,138306.6741875,553104.6681874999,177782.190625,158024.0943125,177782.190625,456024.69062499993,19543975.309375,False,6716862.1518749995,False,False,False,False,19543975.309375,0.0,0.0,0.0,0.0,0.0,19543975.309375,0.0,0.0,0.0,33096.96,95520.95999999999,0.0,13887870.151874999,
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,4,9561344.0,0.08076679687499998,772239.1286999998,1147361.28,34420.8384,737818.2902999998,737818.2902999998,147563.65805999996,442690.97417999984,147563.65805999996,0.04,9943797.76,3403915.7075624997,0.12,102117.47122687509,102117.47122687509,20423.49424537502,71482.22985881256,10211.74712268751,4224441.325281938,0.0,,0.0,0.0,922610.4443125,1080385.8494951874,0.0,0.0,0.0,0.0,0.0,,1915661.5222263122,624011.8429303749,580385.8494951874,442690.97417999984,71482.22985881256,514173.20403881243,167987.15230537497,157775.40518268748,167987.15230537497,624011.8429303749,19375988.157069623,False,7790776.614777125,False,False,False,False,19375988.157069623,0.0,0.0,0.0,0.0,0.0,19375988.157069623,0.0,0.0,0.0,34420.8384,129941.7984,0.0,15248624.934777126,
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,5,9943797.76,0.08278596679687496,823206.9111941996,1193255.7312,35797.671936,787409.2392581996,787409.2392581996,157481.84785163993,472445.5435549197,157481.84785163993,0.04,10341549.6704,4224441.325281938,0.24,253466.4795169162,253466.4795169162,50693.295903383245,177426.53566184134,25346.647951691622,5634712.843049448,1551232.4505599998,lp_distribution,1551232.4505599998,1551232.4505599998,1080385.8494951874,1263214.345298519,0.0,0.0,0.0,0.0,0.0,,2565533.6014430732,2383419.437245398,763214.3452985189,472445.5435549197,177426.53566184134,649872.079216761,1759407.594315023,182828.49580333155,1759407.594315023,2383419.437245398,17616580.5627546,False,7932082.155387968,False,False,False,False,17616580.5627546,0.0,0.0,0.0,0.0,0.0,17616580.5627546,0.0,0.0,0.0,35797.671936,165739.470336,0.0,15688244.408187967,
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,6,10341549.6704,0.08485561596679683,877538.5673330167,1240985.9604479999,37229.57881343999,840308.9885195766,840308.9885195766,168061.79770391533,504185.39311174594,168061.79770391533,0.04,10755211.657216,5634712.843049448,0.08,112694.25686098915,112694.25686098915,22538.85137219783,78885.9798026924,11269.425686098915,6555866.986546854,0.0,,1551232.4505599998,1551232.4505599998,1263214.345298519,1442545.5686885333,0.0,0.0,0.0,0.0,0.0,,3148604.974357512,2574020.086321511,942545.5686885332,504185.39311174594,78885.9798026924,583071.3729144384,190600.64907611316,179331.22339001426,190600.64907611316,2574020.086321511,17425979.91367849,False,9135983.018979387,False,False,False,False,17425979.91367849,0.0,0.0,0.0,0.0,0.0,17425979.91367849,0.0,0.0,0.0,37229.57881343999,202969.04914944,0.0,17202391.761891387,
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,7,10755211.657216,0.08697700636596674,935456.1127769956,1290625.3988659198,38718.761965977596,896737.350811018,896737.350811018,179347.47016220362,538042.4104866108,179347.47016220362,0.04,11185420.12350464,6555866.986546854,0.4,655586.6986546852,655586.6986546852,131117.33973093703,458910.68905827956,65558.66986546852,9519580.1820558,0.0,,1551232.4505599998,1551232.4505599998,1442545.5686885333,1687451.7087162053,0.0,0.0,0.0,0.0,0.0,,4145558.073902402,2884484.8962146514,1187451.7087162053,538042.4104866108,458910.68905827956,996953.0995448905,310464.8098931407,244906.14002767214,310464.8098931407,2884484.8962146514,17115515.103785347,True,12452154.471088164,False,False,False,False,17115515.103785347,0.0,0.0,0.0,0.0,0.0,17115515.103785347,0.0,0.0,0.0,38718.761965977596,241687.81111541757,0.0,20841219.563716646,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
policy_set_comparison__base_hit_everyone_happy__backend_heavy_compounding,8,11185420.12350464,0.08915143152511591,997196.2162202775,1342250.4148205568,40267.5124446167,956928.7037756608,956928.7037756608,191385.74075513217,574157.2222653965,191385.74075513217,0.04,11632836.928444827,9519580.1820558,0.06,142793.70273083728,142793.70273083728,28558.740546167457,99955.59191158609,14279.370273083729,10622074.104425294,0.0,,1551232.4505599998,1551232.4505599998,1687451.7087162053,1893116.8197444212,0.0,0.0,0.0,0.0,0.0,,4819670.888079384,3104429.3775159507,1393116.8197444212,574157.2222653965,99955.59191158609,674112.8141769826,219944.48130129962,205665.1110282159,219944.48130129962,3104429.3775159507,16895570.62248405,True,13872167.705720922,False,False,False,False,16895570.62248405,0.0,0.0,0.0,0.0,0.0,16895570.62248405,0.0,0.0,0.0,40267.5124446167,281955.3235600343,0.0,22596795.402054545,HURDLE_REACHED_BUT_LIQUIDITY_CONSTRAINED
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,1,8500000.0,0.075,637500.0,1020000.0,30600.0,606900.0,606900.0,303450.0,182070.0,121380.0,0.04,8840000.0,1000000.0,0.3,150000.0,150000.0,75000.0,60000.0,15000.0,1392070.0,0.0,,0.0,0.0,500000.0,636380.0,0.0,0.0,0.0,0.0,0.0,,242070.0,378450.0,136380.0,182070.0,60000.0,242070.0,378450.0,136380.0,378450.0,378450.0,19621550.0,False,4238450.0,False,False,False,False,19621550.0,0.0,0.0,0.0,0.0,0.0,19621550.0,0.0,0.0,0.0,30600.0,30600.0,0.0,10868450.0,
policy_set_comparison__base_hit_everyone_happy__balanced_yield_compounding,2,8840000.0,0.07687499999999999,679574.9999999999,1060800.0,31824.0,647750.9999999999,647750.9999999999,323875.49999999994,194325.29999999996,129550.19999999998,0.04,9193600.0,1392070.0,0.15,104405.24999999988,104405.24999999988,52202.62499999994,41762.099999999955,10440.524999999989,1732562.65,0.0,,0.0,0.0,636380.0,776370.725,0.0,0.0,0.0,0.0,0.0,,478157.3999999999,754528.125,276370.725,194325.29999999996,41762.099999999955,236087.3999999999,376078.1249999999,139990.72499999998,376078.1249999999,754528.125,19245471.875,False,4807333.375,False,False,False,False,19245471.875,0.0,0.0,0.0,0.0,0.0,19245471.875,0.0,0.0,0.0,31824.0,62424.0,0.0,11702533.375,
